,Mean,LB,UB,Sample size,Distribution,Min,Max,Mode,Alpha,Beta
LRUW_2004_A1,0.016,0.007,0.037,435,Beta,0.007,0.037,0.016,6.96,428.04
LRUW_2004_A2,0.027,0.016,0.043,300,Beta,0.016,0.043,0.027,8.1,291.9
LRUW_2004_A3,0.027,0.018,0.042,207,Beta,0.018,0.042,0.027,5.589,201.411
LRUW_2004_A4,0.027,0.018,0.042,207,Beta,0.018,0.042,0.027,5.589,201.411
LRUW_2004_A5,0.027,0.018,0.042,207,Beta,0.018,0.042,0.027,5.589,201.411
LRUW_2011_A1,0.145,0.058,0.246,472,Beta,0.058,0.246,0.145,68.44,403.56
LRUW_2011_A2,0.146,0.076,0.225,335,Beta,0.076,0.225,0.146,48.91,286.09
LRUW_2011_A3,0.111,0.069,0.16,242,Beta,0.069,0.16,0.111,26.862,215.138
LRUW_2011_A4,0.111,0.069,0.16,242,Beta,0.069,0.16,0.111,26.862,215.138
LRUW_2011_A5,0.111,0.069,0.16,242,Beta,0.069,0.16,0.111,26.862,215.138
LRUW_2018_A1,0.126,0.065,0.197,520,Beta,0.065,0.197,0.126,65.52,454.48
LRUW_2018_A2,0.133,0.081,0.191,466,Beta,0.081,0.191,0.133,61.978,404.022
LRUW_2018_A3,0.115,0.066,0.173,288,Beta,0.066,0.173,0.115,33.12,254.88
LRUW_2018_A4,0.115,0.066,0.173,288,Beta,0.066,0.173,0.115,33.12,254.88
LRUW_2018_A5,0.115,0.066,0.173,288,Beta,0.066,0.173,0.115,33.12,254.88
LRRW_2004_A1,0.016,0.007,0.037,2037,Beta,0.007,0.037,0.016,32.592,2004.408
LRRW_2004_A2,0.027,0.016,0.043,1345,Beta,0.016,0.043,0.027,36.315,1308.685
LRRW_2004_A3,0.027,0.018,0.042,1357,Beta,0.018,0.042,0.027,36.639,1320.361
LRRW_2004_A4,0.027,0.018,0.042,1357,Beta,0.018,0.042,0.027,36.639,1320.361
LRRW_2004_A5,0.027,0.018,0.042,1357,Beta,0.018,0.042,0.027,36.639,1320.361
LRRW_2011_A1,0.145,0.058,0.246,2446,Beta,0.058,0.246,0.145,354.67,2091.33
LRRW_2011_A2,0.146,0.076,0.225,1825,Beta,0.076,0.225,0.146,266.45,1558.55
LRRW_2011_A3,0.111,0.069,0.16,1629,Beta,0.069,0.16,0.111,180.819,1448.181
LRRW_2011_A4,0.111,0.069,0.16,1629,Beta,0.069,0.16,0.111,180.819,1448.181
LRRW_2011_A5,0.111,0.069,0.16,1629,Beta,0.069,0.16,0.111,180.819,1448.181
LRRW_2018_A1,0.126,0.065,0.197,2068,Beta,0.065,0.197,0.126,260.568,1807.432
LRRW_2018_A2,0.133,0.081,0.191,1795,Beta,0.081,0.191,0.133,238.735,1556.265
LRRW_2018_A3,0.115,0.066,0.173,1625,Beta,0.066,0.173,0.115,186.875,1438.125
LRRW_2018_A4,0.115,0.066,0.173,1625,Beta,0.066,0.173,0.115,186.875,1438.125
LRRW_2018_A5,0.115,0.066,0.173,1625,Beta,0.066,0.173,0.115,186.875,1438.125
UM_2004_A1,0.018,0.008,0.038,340,Beta,0.008,0.038,0.018,6.12,333.88
UM_2004_A2,0.018,0.008,0.038,217,Beta,0.008,0.038,0.018,3.906,213.094
UM_2004_A3,0.021,0.012,0.037,224,Beta,0.012,0.037,0.021,4.704,219.296
UM_2004_A4,0.021,0.012,0.037,224,Beta,0.012,0.037,0.021,4.704,219.296
UM_2004_A5,0.021,0.012,0.037,224,Beta,0.012,0.037,0.021,4.704,219.296
UM_2011_A1,0.071,0.024,0.226,387,Beta,0.024,0.226,0.071,27.477,359.523
UM_2011_A2,0.071,0.024,0.226,352,Beta,0.024,0.226,0.071,24.992,327.008
UM_2011_A3,0.139,0.076,0.21,224,Beta,0.076,0.21,0.139,31.136,192.864
UM_2011_A4,0.139,0.076,0.21,224,Beta,0.076,0.21,0.139,31.136,192.864
UM_2011_A5,0.139,0.076,0.21,224,Beta,0.076,0.21,0.139,31.136,192.864
UM_2018_A1,0.045,0.037,0.111,454,Beta,0.037,0.111,0.045,20.43,433.57
UM_2018_A2,0.045,0.037,0.111,434,Beta,0.037,0.111,0.045,19.53,414.47
UM_2018_A3,0.146,0.098,0.198,327,Beta,0.098,0.198,0.146,47.742,279.258
UM_2018_A4,0.146,0.098,0.198,327,Beta,0.098,0.198,0.146,47.742,279.258
UM_2018_A5,0.146,0.098,0.198,327,Beta,0.098,0.198,0.146,47.742,279.258
RM_2004_A1,0.018,0.008,0.038,1721,Beta,0.008,0.038,0.018,30.978,1690.022
RM_2004_A2,0.018,0.008,0.038,893,Beta,0.008,0.038,0.018,16.074,876.926
RM_2004_A3,0.021,0.012,0.037,1243,Beta,0.012,0.037,0.021,26.103,1216.897
RM_2004_A4,0.021,0.012,0.037,1243,Beta,0.012,0.037,0.021,26.103,1216.897
RM_2004_A5,0.021,0.012,0.037,1243,Beta,0.012,0.037,0.021,26.103,1216.897
RM_2011_A1,0.071,0.024,0.226,2261,Beta,0.024,0.226,0.071,160.531,2100.469
