,Mean,LB,UB,Sample size,Distribution,Min,Max,Mode,Alpha,Beta
LRUW_2005_A1,0.134,0.091,0.194,211,Beta,,,,28.274,182.726
LRUW_2004_A2,0.043,0.03,0.063,639,Beta,,,,27.477,611.523
LRUW_2004_A3,0.043,0.03,0.063,639,Beta,,,,27.477,611.523
LRUW_2004_A4,0.043,0.03,0.063,639,Beta,,,,27.477,611.523
LRUW_2004_A5,0.043,0.03,0.063,639,Beta,,,,27.477,611.523
LRUW_2010_A1,0.165,0.123,0.218,243,Beta,,,,40.095,202.905
LRUW_2006_A2,0.066,0.05,0.085,814,Beta,,,,53.724,760.276
LRUW_2006_A3,0.066,0.05,0.085,814,Beta,,,,53.724,760.276
LRUW_2006_A4,0.066,0.05,0.085,814,Beta,,,,53.724,760.276
LRUW_2006_A5,0.066,0.05,0.085,814,Beta,,,,53.724,760.276
LRUW_2015_A1,0.266,0.211,0.316,335,Beta,,,,89.11,245.89
LRUW_2011_A2,0.09,0.075,0.108,1149,Beta,,,,103.41,1045.59
LRUW_2011_A3,0.09,0.075,0.108,1149,Beta,,,,103.41,1045.59
LRUW_2011_A4,0.09,0.075,0.108,1149,Beta,,,,103.41,1045.59
LRUW_2011_A5,0.09,0.075,0.108,1149,Beta,,,,103.41,1045.59
LRRW_2004_A1,0.017,0.01,0.027,1037,Beta,,,,17.629,1019.371
LRRW_2004_A2,0.008,0.006,0.012,3708,Beta,,,,29.664,3678.336
LRRW_2004_A3,0.008,0.006,0.012,3708,Beta,,,,29.664,3678.336
LRRW_2004_A4,0.008,0.006,0.012,3708,Beta,,,,29.664,3678.336
LRRW_2004_A5,0.008,0.006,0.012,3708,Beta,,,,29.664,3678.336
LRRW_2006_A1,0.066,0.053,0.082,1150,Beta,,,,75.9,1074.1
LRRW_2006_A2,0.032,0.028,0.038,5229,Beta,,,,167.328,5061.672
LRRW_2006_A3,0.032,0.028,0.038,5229,Beta,,,,167.328,5061.672
LRRW_2006_A4,0.032,0.028,0.038,5229,Beta,,,,167.328,5061.672
LRRW_2006_A5,0.032,0.028,0.038,5229,Beta,,,,167.328,5061.672
LRRW_2011_A1,0.098,0.082,0.117,1087,Beta,,,,106.526,980.474
LRRW_2011_A2,0.039,0.034,0.045,5217,Beta,,,,203.463,5013.537
LRRW_2011_A3,0.039,0.034,0.045,5217,Beta,,,,203.463,5013.537
LRRW_2011_A4,0.039,0.034,0.045,5217,Beta,,,,203.463,5013.537
LRRW_2011_A5,0.039,0.034,0.045,5217,Beta,,,,203.463,5013.537
UM_2004_A1,0.408,0.29,0.536,63,Beta,,,,25.704,37.296
UM_2004_A2,0.12,0.09,0.159,349,Beta,,,,41.88,307.12
UM_2004_A3,0.12,0.09,0.159,349,Beta,,,,41.88,307.12
UM_2004_A4,0.12,0.09,0.159,349,Beta,,,,41.88,307.12
UM_2004_A5,0.12,0.09,0.159,349,Beta,,,,41.88,307.12
UM_2006_A1,0.512,0.407,0.617,88,Beta,,,,45.056,42.944
UM_2006_A2,0.121,0.096,0.153,511,Beta,,,,61.831,449.169
UM_2006_A3,0.121,0.096,0.153,511,Beta,,,,61.831,449.169
UM_2006_A4,0.121,0.096,0.153,511,Beta,,,,61.831,449.169
UM_2006_A5,0.121,0.096,0.153,511,Beta,,,,61.831,449.169
UM_2011_A1,0.622,0.527,0.708,111,Beta,,,,69.042,41.958
UM_2011_A2,0.133,0.109,0.161,647,Beta,,,,86.051,560.949
UM_2011_A3,0.133,0.109,0.161,647,Beta,,,,86.051,560.949
UM_2011_A4,0.133,0.109,0.161,647,Beta,,,,86.051,560.949
UM_2011_A5,0.133,0.109,0.161,647,Beta,,,,86.051,560.949
RM_2004_A1,0.089,0.06,0.131,253,Beta,,,,22.517,230.483
RM_2004_A2,0.014,0.009,0.02,1798,Beta,,,,25.172,1772.828
RM_2004_A3,0.014,0.009,0.02,1798,Beta,,,,25.172,1772.828
RM_2004_A4,0.014,0.009,0.02,1798,Beta,,,,25.172,1772.828
RM_2004_A5,0.014,0.009,0.02,1798,Beta,,,,25.172,1772.828
RM_2006_A1,0.512,0.407,0.617,404,Beta,,,,206.848,197.152
RM_2006_A2,0.121,0.096,0.153,2766,Beta,,,,334.686,2431.314
RM_2006_A3,0.121,0.096,0.153,2766,Beta,,,,334.686,2431.314
RM_2006_A4,0.121,0.096,0.153,2766,Beta,,,,334.686,2431.314
RM_2006_A5,0.121,0.096,0.153,2766,Beta,,,,334.686,2431.314
RM_2011_A1,0.622,0.527,0.708,343,Beta,,,,213.346,129.654
RM_2011_A2,0.133,0.109,0.161,2800,Beta,,,,372.4,2427.6
RM_2011_A3,0.133,0.109,0.161,2800,Beta,,,,372.4,2427.6
RM_2011_A4,0.133,0.109,0.161,2800,Beta,,,,372.4,2427.6
RM_2011_A5,0.133,0.109,0.161,2800,Beta,,,,372.4,2427.6
HRW_A1,0.351,0.298,0.404,612,Beta,,,,214.812,397.188
HRW_A2,0.276,0.235,0.317,689,Triangular,,,,190.164,498.836
HRW_A3,0.276,0.235,0.317,689,,,,,190.164,498.836
HRW_A4,0.276,0.235,0.317,689,,,,,190.164,498.836
HRW_A5,0.276,0.235,0.317,689,,,,,190.164,498.836
MSM_A1,0.4039,,,1306,,,,,527.4934,778.5066
MSM_A2,0.4039,,,1306,,,,,527.4934,778.5066
MSM_A3,0.4039,,,1306,,,,,527.4934,778.5066
MSM_A4,0.4039,,,1306,,,,,527.4934,778.5066
MSM_A5,0.4039,,,1306,,,,,527.4934,778.5066
