,Mean,LB,UB,Sample size,Distribution,Min,Max,Mode,Alpha,Beta
F_A1_CD4_1,0.002522777,6.38E-05,0.034295605,98,Beta,6.38E-05,0.034295605,0.002522777,3,98
F_A2_CD4_1,0.006230527,0.002023052,0.014540182,4796,Beta,0.002023052,0.014540182,0.006230527,49,4796
F_A3_CD4_1,0.003222971,8.15E-05,0.017957105,65,Beta,8.15E-05,0.017957105,0.003222971,6,65
F_A4_CD4_1,0.014141238,0.000357773,0.078789322,19,Beta,0.000357773,0.078789322,0.014141238,3,19
F_A5_CD4_1,0.005012538,0.000126817,0.027927857,,,0.000126817,0.027927857,0.005012538,,
F_A1_CD4_2,0.011735425,0.002419845,0.034295605,5990,Beta,0.002419845,0.034295605,0.011735425,65,5990
F_A2_CD4_2,0.00602338,0.001955791,0.014056761,9633,Beta,0.001955791,0.014056761,0.00602338,131,9633
F_A3_CD4_2,0.011464711,0.002364023,0.033504472,17077,Beta,0.002364023,0.033504472,0.011464711,350,17077
F_A4_CD4_2,0.031982048,0.008715108,0.081886837,,Triangular,0.008715108,0.081886837,0.031982048,,
F_A5_CD4_2,0.017830537,0.003676657,0.052107962,,,0.003676657,0.052107962,0.017830537,,
F_A1_CD4_3,0.014784687,0.001790426,0.053406726,,,0.001790426,0.053406726,0.014784687,,
F_A2_CD4_3,0.00210293,5.32E-05,0.053406726,,,5.32E-05,0.053406726,0.00210293,,
F_A3_CD4_3,0.014443633,0.004689848,0.033707107,,,0.004689848,0.033707107,0.014443633,,
F_A4_CD4_3,0.009933073,0.000251458,0.12516,,,0.000251458,0.12516,0.009933073,,
F_A5_CD4_3,0.022463517,0.000568327,0.125157734,,,0.000568327,0.125157734,0.022463517,,
F_A1_CD4_4,0.02445299,0.005042207,0.071461418,,,0.005042207,0.071461418,0.02445299,,
F_A2_CD4_4,0.013907616,0.003789825,0.035609059,,,0.003789825,0.035609059,0.013907616,,
F_A3_CD4_4,0.012497615,0.0034056,0.031998894,,,0.0034056,0.031998894,0.012497615,,
F_A4_CD4_4,0.009939063,0.000251458,0.12516,,,0.000251458,0.12516,0.009939063,,
F_A5_CD4_4,0.201924805,0.000568327,0.729412973,,,0.000568327,0.729412973,0.201924805,,
M_A1_CD4_1,0.008230964,0.000151433,0.039679653,,,0.000151433,0.039679653,0.008230964,,
M_A2_CD4_1,0.003953826,0.000478808,0.014282406,,,0.000478808,0.014282406,0.003953826,,
M_A3_CD4_1,0.003429407,8.68E-05,0.019107284,,,8.68E-05,0.019107284,0.003429407,,
M_A4_CD4_1,0.015862783,0.000230812,0.091754568,,,0.000230812,0.091754568,0.015862783,,
M_A5_CD4_1,0.010027631,0.000147113,0.064631679,,,0.000147113,0.064631679,0.010027631,,
M_A1_CD4_2,0.01367129,0.000345884,0.076170962,,,0.000345884,0.076170962,0.01367129,,
M_A2_CD4_2,0.00563123,0.00116116,0.016456707,,,0.00116116,0.016456707,0.00563123,,
M_A3_CD4_2,0.007833008,0.002134495,0.020055635,,,0.002134495,0.020055635,0.007833008,,
M_A4_CD4_2,0.036176754,0.013276869,0.078742322,,,0.013276869,0.078742322,0.036176754,,
M_A5_CD4_2,0.025482811,0.000644715,0.141980031,,,0.000644715,0.141980031,0.025482811,,
M_A1_CD4_3,0.0196591,0.000497375,0.109532641,,,0.000497375,0.109532641,0.0196591,,
M_A2_CD4_3,0.0076073,0.001568625,0.022231575,,,0.001568625,0.022231575,0.0076073,,
M_A3_CD4_3,0.009466615,0.00307381,0.02209224,,,0.00307381,0.02209224,0.009466615,,
M_A4_CD4_3,0.025183344,0.009242287,0.054814067,,,0.009242287,0.054814067,0.025183344,,
M_A5_CD4_3,0.022842203,0.002081641,0.100603776,,,0.002081641,0.100603776,0.022842203,,
M_A1_CD4_4,0.059335535,0.01748802,0.145479023,,,0.01748802,0.145479023,0.059335535,,
M_A2_CD4_4,0.02965531,0.013561373,0.056294675,,,0.013561373,0.056294675,0.02965531,,
M_A3_CD4_4,0.023210135,0.010019815,0.04573325,,,0.010019815,0.04573325,0.023210135,,
M_A4_CD4_4,0.009487301,0.001148912,0.034270977,,,0.001148912,0.034270977,0.009487301,,
M_A5_CD4_4,0.039354012,0.000995657,0.219264814,,,0.000995657,0.219264814,0.039354012,,
No_ART_CD4_1,1,1,1,,,1,7.14,1.05,,
No_ART_CD4_2,1,1,1,,,1,7.14,1.5,,
No_ART_CD4_3,1,1,1,,,1,7.14,2,,
No_ART_CD4_4,7.14,3.14,14.29,,,3.14,14.29,7.14,,
