year,baseline_prevalence,baseline_incidence,baseline_mortality
2004,0.07,0.005,0.002
2005,0.06875,0.00490625,0.0019625
2006,0.0675,0.0048125,0.001925
2007,0.06625,0.00471875,0.0018875
2008,0.065,0.004625,0.00185
2009,0.06375,0.0045312500000000006,0.0018125
2010,0.0625,0.0044375000000000005,0.001775
2011,0.061250000000000006,0.00434375,0.0017375
2012,0.060000000000000005,0.00425,0.0017000000000000001
2013,0.058750000000000004,0.00415625,0.0016625
2014,0.0575,0.0040625,0.0016250000000000001
2015,0.05625000000000001,0.00396875,0.0015875
2016,0.05500000000000001,0.003875,0.00155
2017,0.053750000000000006,0.00378125,0.0015125
2018,0.052500000000000005,0.0036875,0.001475
2019,0.051250000000000004,0.00359375,0.0014375
2020,0.05,0.0035,0.0014
