indicator,year,value,lower,upper,source
prevalence,2004,0.0714,0.0643,0.0785,Synthetic survey
incidence,2004,0.0053,0.0047,0.0058,Synthetic surveillance
art_coverage,2004,0.196,0.146,0.246,Synthetic program data
prevalence,2005,0.0701,0.0631,0.0771,Synthetic survey
incidence,2005,0.0052,0.0046,0.0057,Synthetic surveillance
art_coverage,2005,0.2328,0.1828,0.2828,Synthetic program data
prevalence,2006,0.0689,0.062,0.0757,Synthetic survey
incidence,2006,0.0051,0.0045,0.0056,Synthetic surveillance
art_coverage,2006,0.2695,0.2195,0.3195,Synthetic program data
prevalence,2007,0.0676,0.0608,0.0743,Synthetic survey
incidence,2007,0.005,0.0045,0.0055,Synthetic surveillance
art_coverage,2007,0.3063,0.2563,0.3563,Synthetic program data
prevalence,2008,0.0663,0.0597,0.0729,Synthetic survey
incidence,2008,0.0049,0.0044,0.0053,Synthetic surveillance
art_coverage,2008,0.343,0.293,0.393,Synthetic program data
prevalence,2009,0.065,0.0585,0.0715,Synthetic survey
incidence,2009,0.0048,0.0043,0.0052,Synthetic surveillance
art_coverage,2009,0.3798,0.3298,0.4298,Synthetic program data
prevalence,2010,0.0638,0.0574,0.0701,Synthetic survey
incidence,2010,0.0047,0.0042,0.0051,Synthetic surveillance
art_coverage,2010,0.4165,0.3665,0.4665,Synthetic program data
prevalence,2011,0.0625,0.0562,0.0687,Synthetic survey
incidence,2011,0.0046,0.0041,0.005,Synthetic surveillance
art_coverage,2011,0.4533,0.4033,0.5033,Synthetic program data
prevalence,2012,0.0612,0.0551,0.0673,Synthetic survey
incidence,2012,0.0045,0.004,0.0049,Synthetic surveillance
art_coverage,2012,0.49,0.44,0.54,Synthetic program data
prevalence,2013,0.0599,0.0539,0.0659,Synthetic survey
incidence,2013,0.0044,0.0039,0.0048,Synthetic surveillance
art_coverage,2013,0.5268,0.4768,0.5768,Synthetic program data
prevalence,2014,0.0587,0.0528,0.0645,Synthetic survey
incidence,2014,0.0043,0.0038,0.0047,Synthetic surveillance
art_coverage,2014,0.5635,0.5135,0.6135,Synthetic program data
prevalence,2015,0.0574,0.0516,0.0631,Synthetic survey
incidence,2015,0.0042,0.0038,0.0046,Synthetic surveillance
art_coverage,2015,0.6003,0.5503,0.6503,Synthetic program data
prevalence,2016,0.0561,0.0505,0.0617,Synthetic survey
incidence,2016,0.0041,0.0037,0.0045,Synthetic surveillance
art_coverage,2016,0.637,0.587,0.687,Synthetic program data
prevalence,2017,0.0548,0.0493,0.0603,Synthetic survey
incidence,2017,0.004,0.0036,0.0044,Synthetic surveillance
art_coverage,2017,0.6737,0.6237,0.7238,Synthetic program data
prevalence,2018,0.0536,0.0482,0.0589,Synthetic survey
incidence,2018,0.0039,0.0035,0.0043,Synthetic surveillance
art_coverage,2018,0.7105,0.6605,0.7605,Synthetic program data
prevalence,2019,0.0523,0.047,0.0575,Synthetic survey
incidence,2019,0.0038,0.0034,0.0042,Synthetic surveillance
art_coverage,2019,0.7473,0.6973,0.7973,Synthetic program data
prevalence,2020,0.051,0.0459,0.0561,Synthetic survey
incidence,2020,0.0037,0.0033,0.004,Synthetic surveillance
art_coverage,2020,0.784,0.734,0.834,Synthetic program data
